label,附加评论,positive,positive_prob,negative_prob,confidence,sentiment
1.0,物流我承认很棒,1,0.917146,0.0828538,0.81588,2
0.0,头有锈点?,0,0.255867,0.744133,0.431406,0
0.0,没多大用 地漏边上的渣子清理一会就转不动了。,0,0.19267,0.80733,0.571846,0
-1.0,"电池耐用，力道一般，同心度差，家用足矣。
高精作业不建议购买。",0,0.084825,0.915175,0.8115,0
1.0,美观实用,1,0.545564,0.454436,0.0887191,1
0.0,要是有个工具箱装那就好了，家用没有箱子装不方便,0,0.331269,0.668731,0.263847,0
0.0,钻7cm的木孔，即然钻不动，总是卡住，失望了,0,0.1984,0.8016,0.559111,0
0.0,同轴性确实一般，用了加长杆后看起来比较明显，但是家用也够了，性价比还是可以,0,0.43703,0.56297,0.0288212,0
0.0,好好好,1,0.672632,0.327367,0.272517,2
0.0,试了下电钻，同心度肉眼看得到的差。,0,0.215318,0.784682,0.521516,0
1.0,物流我承认很棒,1,0.917146,0.0828538,0.81588,2
0.0,还行吧,1,0.58256,0.41744,0.0723545,2
0.0,用了一个月，感觉还不错，家具组装能够胜任。一块电池能用2天左右！！想要入手的请放心购买。,1,0.778955,0.221045,0.508789,2
0.0,头有锈点?,0,0.255867,0.744133,0.431406,0
0.0,家用挺好的，已经试用过，好评。,1,0.954785,0.0452151,0.899522,2
0.0,还行！,1,0.727519,0.272481,0.394487,2
0.0,万用宝吗肯定属于啥都可使用哦,1,0.728147,0.271853,0.395882,2
0.0,刚开始没有掌握 ，用开了，非常别扭 ，还损伤了下面的塑料底座 ，要是用金属的就好了。后面掌握了使用方法 ，感觉很方便，很好用，非常喜欢。,1,0.952586,0.0474142,0.894635,2
0.0,工具箱还有三个位置没有配。是厂家太考虑成本了吧。附件带的太少。200元差价基本铝箱了,0,0.0774053,0.922595,0.827988,0
0.0,万用宝吗肯定属于啥都可使用哦,1,0.728147,0.271853,0.395882,2
0.0,请问这两个配件用哪里的？,0,0.112916,0.887084,0.749076,0
0.0,坑，坑，坑。,0,0.00893533,0.991065,0.980144,0
1.0,拿到手开箱一看就满意，用了再评，附件用坏到哪去买原件。;;,0,0.498058,0.501942,0.961157,1
0.0,刚开始没有掌握 ，用开了，非常别扭 ，还损伤了下面的塑料底座 ，要是用金属的就好了。后面掌握了使用方法 ，感觉很方便，很好用，非常喜欢。,1,0.952586,0.0474142,0.894635,2
1.0,挺好的，挺好的，特别好，顾客特别喜欢，主要是品牌信得过大品牌东西特别好用的，值得信赖嗯，客户非常满意嗯，如果以后有需要还是会来买的好评好评?,1,0.997715,0.00228509,0.994922,2
1.0,客户来电话说明: 只能锯抠个洞什么的，不能切割地板。跟图片介绍差异太大，产品介绍里可以切钉子什么的，实际上切6块复合板就牙钝了无法使用了。质量太差了！过了7天又不能退货。太相信网页介绍了，自认倒霉吧。,0,0.00461053,0.995389,0.989754,0
0.0,质量好,1,0.73133,0.26867,0.402955,2
0.0,不好用,0,0.127442,0.872558,0.716797,0
